nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
30722,0.9067808412262708,1,[0.74996049 0.99995658],2,0.9794401104115487,1,[0.89527121 1.        ],1,2
20485,0.08493409099022242,5,[3.88162962e-06 2.31828310e-01],4,0.02105464623160551,5,[6.66133815e-16 9.62291629e-02],5,5
196621,0.8287840304239826,2,[0.5596812  0.99997546],3,0.953010542857121,1,[0.77568239 1.        ],2,2
38930,0.9592552155455388,1,[0.88558229 0.99999759],1,0.9928023235890223,1,[0.96639739 1.        ],1,1
12307,0.9618363849283339,1,[0.89340354 0.999992  ],1,0.9916594911458994,1,[0.96341497 1.        ],1,1
22548,0.9985265787172247,1,[0.9959608  0.99999747],1,0.9997268054911206,1,[0.99875071 1.        ],1,1
59414,0.9493877646547559,1,[0.86162247 0.99993639],1,0.9892352157443592,1,[0.94931241 1.        ],1,1
12310,0.9057607627104955,1,[0.74969527 0.9998829 ],2,0.9767197831383788,1,[0.89898915 1.        ],1,2
14361,0.916453774280102,1,[0.77498306 0.99998093],2,0.9814461215854189,1,[0.91144624 1.        ],1,2
8218,0.9881817237721683,1,[0.96689318 0.99999702],1,0.9976417476396401,1,[0.98952935 1.        ],1,1
8220,0.0446027666824473,5,[1.58969672e-05 1.20147043e-01],5,0.009230923291991999,5,[1.77635684e-15 4.22731247e-02],5,5
8222,0.36971152087623355,3,[0.08555389 0.68322493],3,0.3433234914790949,3,[0.04891476 0.65627098],3,3
55329,0.7406873516996604,2,[0.39156269 0.99990913],3,0.9184537742814427,1,[0.63136126 1.        ],2,2
20514,0.7602527751848691,2,[0.52773856 0.95991013],3,0.8441413492156433,2,[0.62808293 1.        ],2,3
24611,0.7486297752978526,2,[0.40494675 0.99916593],3,0.9139486518240932,1,[0.59579329 1.        ],3,2
57381,0.8823387982413682,1,[0.71388763 0.99965115],2,0.9398125102613446,1,[0.77285371 1.        ],2,2
