peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
193.242.98.160|147.28.38.0/24|('43578', '1299', '1239', '3130')|False|0.38924731182795697|(('43578', '1299'), ('1299', '1239'), ('1239', '3130'))|('43578c2p', '1299p2p', '1239p2c')
193.242.98.160|147.28.38.0/24|('43578', '1299', '2914', '3130')|False|0.05053763440860215|(('43578', '1299'), ('1299', '2914'), ('2914', '3130'))|('43578c2p', '1299p2p', '2914p2c')
193.242.98.160|147.28.42.0/24|('43578', '1299', '2914', '63528', '58362')|False|0.05268817204301075|(('43578', '1299'), ('1299', '2914'), ('2914', '63528'), ('63528', '58362'))|('43578c2p', '1299p2p', '2914p2c', '63528p2c')
193.242.98.160|147.28.46.0/24|('43578', '1299', '174', '37100', '58363')|False|0.06720430107526881|(('43578', '1299'), ('1299', '174'), ('174', '37100'), ('37100', '58363'))|('43578c2p', '1299p2p', '174p2c', '37100p2c')
193.242.98.160|147.28.46.0/24|('43578', '1299', '37100', '58363')|False|0.05|(('43578', '1299'), ('1299', '37100'), ('37100', '58363'))|('43578c2p', '1299p2c', '37100p2c')
193.242.98.160|147.28.50.0/24|('43578', '1299', '16735', '22548', '58364')|False|0.30053763440860215|(('43578', '1299'), ('1299', '16735'), ('16735', '22548'), ('22548', '58364'))|('43578c2p', '1299p2c', '16735p2c', '22548p2c')
193.242.98.160|147.28.50.0/24|('43578', '1299', '3356', '3549', '22548', '58364')|False|0.3575268817204301|(('43578', '1299'), ('1299', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('43578c2p', '1299p2p', '3356p2c', '3549p2c', '22548p2c')
193.242.98.160|147.28.54.0/24|('43578', '1299', '3356', '33891', '5539', '58365')|False|0.2946236559139785|(('43578', '1299'), ('1299', '3356'), ('3356', '33891'), ('33891', '5539'), ('5539', '58365'))|('43578c2p', '1299p2p', '3356p2c', '33891p2c', '5539p2c')
193.242.98.160|147.28.54.0/24|('43578', '1299', '5539', '58365')|False|0.05|(('43578', '1299'), ('1299', '5539'), ('5539', '58365'))|('43578c2p', '1299p2c', '5539p2c')
193.242.98.160|147.28.54.0/24|('43578', '33891', '5539', '58365')|False|0.4612903225806452|(('43578', '33891'), ('33891', '5539'), ('5539', '58365'))|('43578p2p', '33891p2c', '5539p2c')
193.242.98.160|45.132.190.0/24|('43578', '1299', '31027', '44869', '58360')|False|0.07473118279569893|(('43578', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('43578c2p', '1299p2c', '31027p2c', '44869p2c')
193.242.98.160|45.132.190.0/24|('43578', '1299', '3356', '31027', '44869', '58360')|False|0.24623655913978496|(('43578', '1299'), ('1299', '3356'), ('3356', '31027'), ('31027', '44869'), ('44869', '58360'))|('43578c2p', '1299p2p', '3356p2c', '31027p2c', '44869p2c')
193.242.98.141|147.28.34.0/24|('29680', '3257', '2497', '58361')|True|0.874731182795699|(('29680', '3257'), ('3257', '2497'), ('2497', '58361'))|('29680c2p', '3257p2p', '2497p2c')
193.242.98.141|147.28.34.0/24|('29680', '8220', '1299', '2497', '58361')|True|0.9354838709677419|(('29680', '8220'), ('8220', '1299'), ('1299', '2497'), ('2497', '58361'))|('29680c2p', '8220c2p', '1299p2p', '2497p2c')
193.242.98.141|147.28.38.0/24|('29680', '174', '2914', '3130')|True|0.8940860215053763|(('29680', '174'), ('174', '2914'), ('2914', '3130'))|('29680c2p', '174p2p', '2914p2c')
193.242.98.141|147.28.42.0/24|('29680', '174', '2914', '63528', '58362')|True|0.8725806451612903|(('29680', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('29680c2p', '174p2p', '2914p2c', '63528p2c')
193.242.98.141|147.28.46.0/24|('29680', '3257', '37100', '58363')|True|0.95|(('29680', '3257'), ('3257', '37100'), ('37100', '58363'))|('29680c2p', '3257p2c', '37100p2c')
193.242.98.141|147.28.50.0/24|('29680', '6939', '16735', '22548', '58364')|True|0.8462365591397849|(('29680', '6939'), ('6939', '16735'), ('16735', '22548'), ('22548', '58364'))|('29680p2p', '6939p2c', '16735p2c', '22548p2c')
193.242.98.141|147.28.54.0/24|('29680', '15704', '33891', '5539', '58365')|True|0.9478494623655914|(('29680', '15704'), ('15704', '33891'), ('33891', '5539'), ('5539', '58365'))|('29680c2p', '15704p2p', '33891p2c', '5539p2c')
193.242.98.141|45.132.190.0/24|('29680', '8220', '31027', '44869', '58360')|True|0.95|(('29680', '8220'), ('8220', '31027'), ('31027', '44869'), ('44869', '58360'))|('29680c2p', '8220p2p', '31027p2c', '44869p2c')
37.49.236.1|147.28.34.0/24|('8218', '174', '2914', '2497', '58361')|False|0.11505376344086021|(('8218', '174'), ('174', '2914'), ('2914', '2497'), ('2497', '58361'))|('8218c2p', '174p2p', '2914p2c', '2497p2c')
37.49.236.1|147.28.34.0/24|('8218', '6461', '2497', '58361')|True|0.85|(('8218', '6461'), ('6461', '2497'), ('2497', '58361'))|('8218c2p', '6461p2p', '2497p2c')
37.49.236.1|147.28.34.0/24|('8218', '6461', '2914', '2497', '58361')|True|0.7784946236559139|(('8218', '6461'), ('6461', '2914'), ('2914', '2497'), ('2497', '58361'))|('8218c2p', '6461p2p', '2914p2c', '2497p2c')
