peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
72.22.223.18|147.28.37.0/24|('11708', '3130')|False|0.26523297491039427|(('11708', '3130'),)|('11708p2p',)
72.22.223.18|147.28.41.0/24|('11708', '15164', '174', '2914', '63528', '58362')|False|0.3064516129032258|(('11708', '15164'), ('15164', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('11708p2p', '15164c2p', '174p2p', '2914p2c', '63528p2c')
72.22.223.18|147.28.53.0/24|('11708', '21385', '5539', '58365')|False|0.4329749103942652|(('11708', '21385'), ('21385', '5539'), ('5539', '58365'))|('11708p2p', '21385p2c', '5539p2c')
72.22.223.18|147.28.53.0/24|('11708', '33891', '5539', '58365')|False|0.2175627240143369|(('11708', '33891'), ('33891', '5539'), ('5539', '58365'))|('11708p2p', '33891p2c', '5539p2c')
72.22.223.18|45.132.189.0/24|('11708', '15164', '1299', '31027', '44869', '58360')|False|0.4057347670250896|(('11708', '15164'), ('15164', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('11708p2p', '15164c2p', '1299p2c', '31027p2c', '44869p2c')
72.22.223.18|45.132.189.0/24|('11708', '15164', '174', '1299', '31027', '44869', '58360')|False|0.35089605734767026|(('11708', '15164'), ('15164', '174'), ('174', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('11708p2p', '15164c2p', '174p2p', '1299p2c', '31027p2c', '44869p2c')
177.84.60.15|147.28.33.0/24|('263516', '10429', '12956', '2914', '2497', '58361')|False|0.4376344086021505|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '2497'), ('2497', '58361'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '2497p2c')
177.84.60.15|147.28.33.0/24|('263516', '264556', '28263', '6939', '2497', '58361')|False|0.21469534050179212|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '2497'), ('2497', '58361'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p', '2497p2c')
177.84.60.15|147.28.37.0/24|('263516', '10429', '12956', '1239', '3130')|False|0.3978494623655914|(('263516', '10429'), ('10429', '12956'), ('12956', '1239'), ('1239', '3130'))|('263516c2p', '10429c2p', '12956p2p', '1239p2c')
177.84.60.15|147.28.37.0/24|('263516', '10429', '12956', '2914', '3130')|False|0.2949820788530466|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '3130'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c')
177.84.60.15|147.28.41.0/24|('263516', '10429', '12956', '2914', '63528', '58362')|False|0.2114695340501792|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '63528'), ('63528', '58362'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '63528p2c')
177.84.60.15|147.28.41.0/24|('263516', '264556', '28263', '10429', '12956', '2914', '63528', '58362')|False|0.34229390681003585|(('263516', '264556'), ('264556', '28263'), ('28263', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '63528'), ('63528', '58362'))|('263516c2p', '264556c2p', '28263c2p', '10429c2p', '12956p2p', '2914p2c', '63528p2c')
177.84.60.15|147.28.45.0/24|('263516', '10429', '12956', '174', '37100', '58363')|False|0.278494623655914|(('263516', '10429'), ('10429', '12956'), ('12956', '174'), ('174', '37100'), ('37100', '58363'))|('263516c2p', '10429c2p', '12956p2p', '174p2c', '37100p2c')
177.84.60.15|147.28.45.0/24|('263516', '264556', '28263', '6939', '37100', '58363')|False|0.2082437275985663|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '37100'), ('37100', '58363'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p', '37100p2c')
177.84.60.15|147.28.49.0/24|('263516', '10429', '3356', '3549', '22548', '58364')|False|0.41935483870967744|(('263516', '10429'), ('10429', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('263516c2p', '10429p2p', '3356p2c', '3549p2c', '22548p2c')
177.84.60.15|147.28.49.0/24|('263516', '16735', '22548', '58364')|False|0.22293906810035843|(('263516', '16735'), ('16735', '22548'), ('22548', '58364'))|('263516None', '16735p2c', '22548p2c')
177.84.60.15|147.28.49.0/24|('263516', '22548', '58364')|False|0.2075268817204301|(('263516', '22548'), ('22548', '58364'))|('263516p2p', '22548p2c')
177.84.60.15|147.28.53.0/24|('263516', '10429', '12956', '2914', '5539', '58365')|False|0.24121863799283155|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '5539'), ('5539', '58365'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '5539p2c')
177.84.60.15|45.132.189.0/24|('263516', '10429', '12956', '1299', '31027', '44869', '58360')|False|0.27132616487455197|(('263516', '10429'), ('10429', '12956'), ('12956', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('263516c2p', '10429c2p', '12956p2p', '1299p2c', '31027p2c', '44869p2c')
177.84.60.15|45.132.189.0/24|('263516', '10429', '12956', '2914', '31027', '44869', '58360')|False|0.30286738351254483|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '31027'), ('31027', '44869'), ('44869', '58360'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '31027p2c', '44869p2c')
95.140.133.13|147.28.33.0/24|('2593', '28716', '1299', '2497', '58361')|False|0.3154121863799283|(('2593', '28716'), ('28716', '1299'), ('1299', '2497'), ('2497', '58361'))|('2593c2p', '28716c2p', '1299p2p', '2497p2c')
95.140.133.13|147.28.33.0/24|('2593', '28716', '2914', '2497', '58361')|False|0.2885304659498208|(('2593', '28716'), ('28716', '2914'), ('2914', '2497'), ('2497', '58361'))|('2593c2p', '28716c2p', '2914p2c', '2497p2c')
95.140.133.13|147.28.33.0/24|('2593', '28716', '6453', '2497', '58361')|False|0.4050179211469534|(('2593', '28716'), ('28716', '6453'), ('6453', '2497'), ('2497', '58361'))|('2593c2p', '28716c2p', '6453p2p', '2497p2c')
95.140.133.13|147.28.33.0/24|('2593', '49289', '1299', '2497', '58361')|False|0.4992831541218638|(('2593', '49289'), ('49289', '1299'), ('1299', '2497'), ('2497', '58361'))|('2593c2p', '49289c2p', '1299p2p', '2497p2c')
95.140.133.13|147.28.37.0/24|('2593', '28716', '2914', '1239', '3130')|False|0.31899641577060933|(('2593', '28716'), ('28716', '2914'), ('2914', '1239'), ('1239', '3130'))|('2593c2p', '28716c2p', '2914p2p', '1239p2c')
95.140.133.13|147.28.37.0/24|('2593', '28716', '2914', '3130')|False|0.2053763440860215|(('2593', '28716'), ('28716', '2914'), ('2914', '3130'))|('2593c2p', '28716c2p', '2914p2c')
