peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
72.22.223.18|147.28.36.0/24|('11708', '3130')|False|0.253584229390681|(('11708', '3130'),)|('11708p2p',)
72.22.223.18|147.28.40.0/24|('11708', '15164', '174', '2914', '63528', '58362')|False|0.3146953405017921|(('11708', '15164'), ('15164', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('11708p2p', '15164c2p', '174p2p', '2914p2c', '63528p2c')
72.22.223.18|147.28.48.0/24|('11708', '15164', '6939', '3356', '3549', '22548', '58364')|False|0.43620071684587813|(('11708', '15164'), ('15164', '6939'), ('6939', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('11708p2p', '15164c2p', '6939c2p', '3356p2c', '3549p2c', '22548p2c')
72.22.223.18|147.28.52.0/24|('11708', '21385', '5539', '58365')|False|0.3863799283154122|(('11708', '21385'), ('21385', '5539'), ('5539', '58365'))|('11708p2p', '21385p2c', '5539p2c')
72.22.223.18|147.28.52.0/24|('11708', '33891', '5539', '58365')|False|0.20555555555555555|(('11708', '33891'), ('33891', '5539'), ('5539', '58365'))|('11708p2p', '33891p2c', '5539p2c')
72.22.223.18|45.132.188.0/24|('11708', '15164', '174', '2914', '31027', '44869', '58360')|False|0.4121863799283154|(('11708', '15164'), ('15164', '174'), ('174', '2914'), ('2914', '31027'), ('31027', '44869'), ('44869', '58360'))|('11708p2p', '15164c2p', '174p2p', '2914p2c', '31027p2c', '44869p2c')
177.84.60.15|147.28.32.0/24|('263516', '10429', '12956', '2914', '2497', '58361')|False|0.2654121863799283|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '2497'), ('2497', '58361'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c', '2497p2c')
177.84.60.15|147.28.32.0/24|('263516', '264556', '28263', '6939', '2497', '58361')|False|0.203584229390681|(('263516', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '2497'), ('2497', '58361'))|('263516c2p', '264556c2p', '28263c2p', '6939p2p', '2497p2c')
177.84.60.15|147.28.36.0/24|('263516', '10429', '12956', '1239', '3130')|False|0.27580645161290324|(('263516', '10429'), ('10429', '12956'), ('12956', '1239'), ('1239', '3130'))|('263516c2p', '10429c2p', '12956p2p', '1239p2c')
177.84.60.15|147.28.36.0/24|('263516', '10429', '12956', '2914', '3130')|False|0.2342293906810036|(('263516', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '3130'))|('263516c2p', '10429c2p', '12956p2p', '2914p2c')
