peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
2a0c:3b82:0:c232::6358|147.28.44.0/24|('58057', '34800', '34549', '37100', '58363')|False|0.27586206896551724|(('58057', '34800'), ('34800', '34549'), ('34549', '37100'), ('37100', '58363'))|('58057p2c', '34800p2c', '34549None', '37100p2c')
2a0c:3b82:0:c232::6358|147.28.52.0/24|('58057', '34800', '34549', '5539', '58365')|False|0.27011494252873564|(('58057', '34800'), ('34800', '34549'), ('34549', '5539'), ('5539', '58365'))|('58057p2c', '34800p2c', '34549None', '5539p2c')
2a0c:b641:402::1|147.28.32.0/24|('208709', '34872', '24961', '3356', '2497', '58361')|False|0.45450191570881227|(('208709', '34872'), ('34872', '24961'), ('24961', '3356'), ('3356', '2497'), ('2497', '58361'))|('208709c2p', '34872c2p', '24961c2p', '3356p2c', '2497p2c')
2a0c:b641:402::1|147.28.32.0/24|('208709', '58299', '6939', '2497', '58361')|False|0.21599616858237547|(('208709', '58299'), ('58299', '6939'), ('6939', '2497'), ('2497', '58361'))|('208709p2p', '58299c2p', '6939p2p', '2497p2c')
2a0c:b641:402::1|147.28.36.0/24|('208709', '58299', '6939', '3130')|False|0.2231800766283525|(('208709', '58299'), ('58299', '6939'), ('6939', '3130'))|('208709p2p', '58299c2p', '6939p2p')
2a0c:b641:402::1|147.28.40.0/24|('208709', '49697', '39912', '1299', '2914', '63528', '58362')|False|0.49090038314176243|(('208709', '49697'), ('49697', '39912'), ('39912', '1299'), ('1299', '2914'), ('2914', '63528'), ('63528', '58362'))|('208709c2p', '49697p2p', '39912c2p', '1299p2p', '2914p2c', '63528p2c')
2a0c:b641:402::1|147.28.40.0/24|('208709', '58299', '174', '2914', '63528', '58362')|False|0.2595785440613027|(('208709', '58299'), ('58299', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('208709p2p', '58299c2p', '174p2p', '2914p2c', '63528p2c')
2a0c:b641:402::1|147.28.44.0/24|('208709', '34927', '37100', '58363')|False|0.382183908045977|(('208709', '34927'), ('34927', '37100'), ('37100', '58363'))|('208709c2p', '34927None', '37100p2c')
2a0c:b641:402::1|147.28.44.0/24|('208709', '49697', '37100', '58363')|False|0.08955938697318008|(('208709', '49697'), ('49697', '37100'), ('37100', '58363'))|('208709c2p', '49697p2p', '37100p2c')
2a0c:b641:402::1|147.28.44.0/24|('208709', '49697', '39912', '37100', '58363')|False|0.3299808429118774|(('208709', '49697'), ('49697', '39912'), ('39912', '37100'), ('37100', '58363'))|('208709c2p', '49697p2p', '39912p2p', '37100p2c')
2a0c:b641:402::1|147.28.44.0/24|('208709', '58299', '34549', '37100', '58363')|False|0.23563218390804597|(('208709', '58299'), ('58299', '34549'), ('34549', '37100'), ('37100', '58363'))|('208709p2p', '58299None', '34549None', '37100p2c')
2a0c:b641:402::1|147.28.52.0/24|('208709', '21385', '5539', '58365')|False|0.2523946360153257|(('208709', '21385'), ('21385', '5539'), ('5539', '58365'))|('208709None', '21385p2c', '5539p2c')
2a0c:b641:402::1|147.28.52.0/24|('208709', '49697', '39533', '5539', '58365')|False|0.3716475095785441|(('208709', '49697'), ('49697', '39533'), ('39533', '5539'), ('5539', '58365'))|('208709c2p', '49697p2p', '39533p2p', '5539p2c')
