nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
137,0.926753686991613,1.0,[0.92298551 0.99999401],1.0,0.9845699101900923,1.0,[0.96904965 1.        ],1.0,1.0
174,0.979022064733191,1.0,[0.99741727 0.99999927],1.0,0.9956389403343383,1.0,[0.9994394 1.       ],1.0,1.0
209,0.8685059611419085,1.0,[0.96286219 0.99999177],1.0,0.9704138590355822,1.0,[0.98789694 1.        ],1.0,1.0
286,0.9520575241075256,1.0,[0.97446208 0.99998615],1.0,0.9890482773651582,1.0,[0.99213126 1.        ],1.0,1.0
293,0.9762517816553131,1.0,[0.9561723  0.99997315],1.0,0.9948720074375409,1.0,[0.98314531 1.        ],1.0,1.0
513,0.9990089943847049,1.0,[0.24167399 0.99995925],3.0,0.9998807500658737,1.0,[0.33132289 1.        ],3.0,2.0
553,0.9708988309050001,1.0,[0.88028184 0.99999628],1.0,0.9950147577511589,1.0,[0.95970713 1.        ],1.0,1.0
577,0.9190620216019797,1.0,[0.15376245 0.99964902],3.0,0.9824562518118773,1.0,[0.2474881 1.       ],3.0,2.0
680,0.9233912768691798,1.0,[0.90057004 0.99998745],1.0,0.9844612397351541,1.0,[0.96525059 1.        ],1.0,1.0
701,0.9940665688808078,1.0,[0.98479948 0.99999385],1.0,0.9987721723527659,1.0,[0.99493704 1.        ],1.0,1.0
703,0.8815297478423708,1.0,[0.38095671 0.99993231],3.0,0.8891639580511572,1.0,[0.64515167 1.        ],2.0,3.0
852,0.8137285816308615,2.0,[0.96875441 0.99998992],1.0,0.8476633145826825,2.0,[0.98888861 1.        ],1.0,2.0
1103,0.7474894816770513,2.0,[0.9559995  0.99999201],1.0,0.9192951818020717,1.0,[0.98512482 1.        ],1.0,1.0
1140,0.9339915936684823,1.0,[0.22668275 0.99971387],3.0,0.9830736163481762,1.0,[0.30096413 1.        ],3.0,2.0
1221,0.7398604255673091,2.0,[0.94333156 0.99998967],1.0,0.9182000051779919,1.0,[0.98096353 1.        ],1.0,1.0
1239,0.9501511138953243,1.0,[0.99511141 0.9999991 ],1.0,0.9897820253125523,1.0,[0.99867442 1.        ],1.0,1.0
1257,0.9404114916215219,1.0,[0.7472576  0.99993013],2.0,0.9870902801001653,1.0,[0.90698881 1.        ],1.0,2.0
1267,0.9796843279302323,1.0,[0.86803062 0.99996545],1.0,0.9956088458852237,1.0,[0.95962026 1.        ],1.0,1.0
1273,0.9987845797255555,1.0,[0.93196896 0.99997212],1.0,0.999818805664507,1.0,[0.97923915 1.        ],1.0,1.0
1280,0.9020674747268685,1.0,[0.8161835  0.99997926],2.0,0.9120715282049507,1.0,[0.93258253 1.        ],1.0,2.0
1299,0.9897856784621542,1.0,[0.99759792 0.99999914],1.0,0.9979094837698611,1.0,[0.99968857 1.        ],1.0,1.0
1351,0.9699065066994433,1.0,[0.85704474 0.9999863 ],1.0,0.9928614498664742,1.0,[0.95254463 1.        ],1.0,1.0
1403,0.9808480069975406,1.0,[0.95458862 0.99999899],1.0,0.9965631836432642,1.0,[0.98367344 1.        ],1.0,1.0
1764,0.3195236321790207,4.0,[0.82422297 0.9998669 ],2.0,0.2423894358256074,4.0,[0.93227424 1.        ],1.0,4.0
1798,0.9663060425702832,1.0,[0.89600206 0.99998135],1.0,0.99402585017007,1.0,[0.96898236 1.        ],1.0,1.0
1820,0.9423319381284938,1.0,[0.24957233 0.99958272],3.0,0.9888893519332005,1.0,[0.40362937 1.        ],3.0,2.0
1836,0.8291315125316092,2.0,[0.39742057 0.99986338],3.0,0.9561671207828131,1.0,[0.62279393 1.        ],2.0,2.0
1853,0.8542647639412296,1.0,[0.6980325  0.99996585],2.0,0.9637534518296418,1.0,[0.86568236 1.        ],1.0,2.0
1916,0.9636036400421515,1.0,[0.93923365 0.99997375],1.0,0.9924368344540679,1.0,[0.97856374 1.        ],1.0,1.0
2044,0.9275767000589297,1.0,[0.2456031  0.99989761],3.0,0.985269151627523,1.0,[0.41666169 1.        ],3.0,2.0
2119,0.9514494645554957,1.0,[0.56416181 0.99987463],3.0,0.9900640694783923,1.0,[0.78862047 1.        ],2.0,2.0
2152,0.6517638980750214,2.0,[0.77073815 0.99984475],2.0,0.8426351490132331,2.0,[0.91892864 1.        ],1.0,2.0
2497,0.9694126403008317,1.0,[0.99712563 0.99999997],1.0,0.9939037333590643,1.0,[0.99935603 1.        ],1.0,1.0
2516,0.988054145530956,1.0,[0.94214588 0.99997146],1.0,0.9975361665814494,1.0,[0.98149738 1.        ],1.0,1.0
2518,0.7896507334461542,2.0,[0.8611549  0.99999202],1.0,0.9420688078087212,1.0,[0.95004022 1.        ],1.0,1.0
2586,0.978584730198254,1.0,[0.69353741 0.99984874],2.0,0.9959536334745827,1.0,[0.86195103 1.        ],1.0,2.0
2593,0.915471775804567,1.0,[0.87905941 0.9999935 ],1.0,0.98110901293039,1.0,[0.95394235 1.        ],1.0,1.0
2597,0.9515917592178907,1.0,[0.89038743 0.99998994],1.0,0.988166919264717,1.0,[0.96331537 1.        ],1.0,1.0
2598,0.986056621743191,1.0,[0.76405986 0.99991105],2.0,0.9970102744972428,1.0,[0.91443971 1.        ],1.0,2.0
2603,0.8717374696951332,1.0,[0.87133885 0.99997608],1.0,0.9677807384862824,1.0,[0.9459067 1.       ],1.0,1.0
2613,0.8002596991671675,2.0,[0.84200451 0.99996779],2.0,0.9446876351481028,1.0,[0.95156016 1.        ],1.0,2.0
2764,0.8936741404796814,1.0,[0.69065131 0.99999515],2.0,0.9778352889769986,1.0,[0.86694017 1.        ],1.0,2.0
2895,0.9661248130324971,1.0,[0.75201138 0.9998979 ],2.0,0.9933359858929159,1.0,[0.88820101 1.        ],1.0,2.0
2905,0.9741753486724083,1.0,[0.24437436 0.9999141 ],3.0,0.9948573536482225,1.0,[0.29862971 1.        ],3.0,2.0
2914,0.4136043847221664,3.0,[0.99752541 0.99999882],1.0,0.41083917172477025,3.0,[0.99975313 1.        ],1.0,3.0
3130,0.7677436698718259,2.0,[0.99726654 0.99999768],1.0,0.8496250825003786,2.0,[0.99950119 1.        ],1.0,2.0
3214,0.974719445304326,1.0,[0.9611302  0.99999038],1.0,0.9950060655962473,1.0,[0.98762525 1.        ],1.0,1.0
3216,0.9721472865071743,1.0,[0.61722853 0.99986637],2.0,0.9936087936672425,1.0,[0.80283263 1.        ],2.0,2.0
3223,0.896592696565667,1.0,[0.96423511 0.99999698],1.0,0.9749639945978111,1.0,[0.98791795 1.        ],1.0,1.0
3249,0.8315457889425358,2.0,[0.75649146 0.99992019],2.0,0.9080771854452733,1.0,[0.90353285 1.        ],1.0,2.0
3257,0.990870422066957,1.0,[0.99622115 0.99999986],1.0,0.9983566317528626,1.0,[0.99896847 1.        ],1.0,1.0
3267,0.9113809212005676,1.0,[0.94968465 0.99999509],1.0,0.980909263400387,1.0,[0.98586168 1.        ],1.0,1.0
3269,0.6624342665871685,2.0,[0.80745001 0.99985581],2.0,0.8464595032585768,2.0,[0.92113675 1.        ],1.0,2.0
