peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
2a0c:3b82:0:c232::6358|147.28.45.0/24|('58057', '34800', '34549', '37100', '58363')|False|0.2720306513409962|(('58057', '34800'), ('34800', '34549'), ('34549', '37100'), ('37100', '58363'))|('58057p2c', '34800p2c', '34549None', '37100p2c')
2a0c:3b82:0:c232::6358|147.28.53.0/24|('58057', '34800', '34549', '5539', '58365')|False|0.2653256704980843|(('58057', '34800'), ('34800', '34549'), ('34549', '5539'), ('5539', '58365'))|('58057p2c', '34800p2c', '34549None', '5539p2c')
2a0c:b641:402::1|147.28.33.0/24|('208709', '58299', '6939', '2497', '58361')|False|0.20977011494252873|(('208709', '58299'), ('58299', '6939'), ('6939', '2497'), ('2497', '58361'))|('208709p2p', '58299c2p', '6939p2p', '2497p2c')
2a0c:b641:402::1|147.28.37.0/24|('208709', '58299', '6939', '3130')|False|0.21551724137931033|(('208709', '58299'), ('58299', '6939'), ('6939', '3130'))|('208709p2p', '58299c2p', '6939p2p')
2a0c:b641:402::1|147.28.41.0/24|('208709', '49697', '39912', '1299', '2914', '63528', '58362')|False|0.4846743295019157|(('208709', '49697'), ('49697', '39912'), ('39912', '1299'), ('1299', '2914'), ('2914', '63528'), ('63528', '58362'))|('208709c2p', '49697p2p', '39912c2p', '1299p2p', '2914p2c', '63528p2c')
2a0c:b641:402::1|147.28.41.0/24|('208709', '58299', '174', '2914', '63528', '58362')|False|0.21839080459770116|(('208709', '58299'), ('58299', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('208709p2p', '58299c2p', '174p2p', '2914p2c', '63528p2c')
2a0c:b641:402::1|147.28.45.0/24|('208709', '34927', '37100', '58363')|False|0.38122605363984674|(('208709', '34927'), ('34927', '37100'), ('37100', '58363'))|('208709c2p', '34927None', '37100p2c')
2a0c:b641:402::1|147.28.45.0/24|('208709', '49697', '37100', '58363')|False|0.08812260536398467|(('208709', '49697'), ('49697', '37100'), ('37100', '58363'))|('208709c2p', '49697p2p', '37100p2c')
2a0c:b641:402::1|147.28.45.0/24|('208709', '49697', '39912', '37100', '58363')|False|0.3227969348659004|(('208709', '49697'), ('49697', '39912'), ('39912', '37100'), ('37100', '58363'))|('208709c2p', '49697p2p', '39912p2p', '37100p2c')
2a0c:b641:402::1|147.28.45.0/24|('208709', '58299', '34549', '37100', '58363')|False|0.23371647509578544|(('208709', '58299'), ('58299', '34549'), ('34549', '37100'), ('37100', '58363'))|('208709p2p', '58299None', '34549None', '37100p2c')
2a0c:b641:402::1|147.28.49.0/24|('208709', '58299', '6939', '22548', '58364')|False|0.3065134099616858|(('208709', '58299'), ('58299', '6939'), ('6939', '22548'), ('22548', '58364'))|('208709p2p', '58299c2p', '6939p2c', '22548p2c')
2a0c:b641:402::1|147.28.49.0/24|('208709', '58299', '6939', '3356', '3549', '22548', '58364')|False|0.42049808429118773|(('208709', '58299'), ('58299', '6939'), ('6939', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('208709p2p', '58299c2p', '6939c2p', '3356p2c', '3549p2c', '22548p2c')
