peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
187.16.221.193|147.28.42.0/24|('37468', '174', '2914', '63528', '58362')|False|0.3577586206896552|(('37468', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('37468c2p', '174p2p', '2914p2c', '63528p2c')
187.16.221.193|147.28.42.0/24|('37468', '3356', '2914', '63528', '58362')|False|0.0014367816091954023|(('37468', '3356'), ('3356', '2914'), ('2914', '63528'), ('63528', '58362'))|('37468p2p', '3356p2p', '2914p2c', '63528p2c')
187.16.221.193|147.28.46.0/24|('37468', '1299', '174', '37100', '58363')|False|0.375|(('37468', '1299'), ('1299', '174'), ('174', '37100'), ('37100', '58363'))|('37468c2p', '1299p2p', '174p2c', '37100p2c')
187.16.221.193|147.28.46.0/24|('37468', '174', '37100', '58363')|False|0.17097701149425287|(('37468', '174'), ('174', '37100'), ('37100', '58363'))|('37468c2p', '174p2c', '37100p2c')
187.16.221.193|147.28.46.0/24|('37468', '3356', '174', '37100', '58363')|False|0.23563218390804597|(('37468', '3356'), ('3356', '174'), ('174', '37100'), ('37100', '58363'))|('37468p2p', '3356p2p', '174p2c', '37100p2c')
187.16.221.193|147.28.46.0/24|('37468', '37100', '58363')|False|0.0014367816091954023|(('37468', '37100'), ('37100', '58363'))|('37468p2p', '37100p2c')
187.16.221.193|147.28.46.0/24|('37468', '37271', '37100', '58363')|False|0.35201149425287354|(('37468', '37271'), ('37271', '37100'), ('37100', '58363'))|('37468p2p', '37271p2p', '37100p2c')
187.16.221.193|147.28.50.0/24|('37468', '1299', '3356', '3549', '22548', '58364')|False|0.2557471264367816|(('37468', '1299'), ('1299', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('37468c2p', '1299p2p', '3356p2c', '3549p2c', '22548p2c')
187.16.221.193|147.28.50.0/24|('37468', '174', '3356', '3549', '22548', '58364')|False|0.1896551724137931|(('37468', '174'), ('174', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('37468c2p', '174p2p', '3356p2c', '3549p2c', '22548p2c')
187.16.221.193|147.28.50.0/24|('37468', '22548', '58364')|False|0.0|(('37468', '22548'), ('22548', '58364'))|('37468p2p', '22548p2c')
187.16.221.193|147.28.50.0/24|('37468', '3356', '1299', '16735', '22548', '58364')|False|0.14942528735632185|(('37468', '3356'), ('3356', '1299'), ('1299', '16735'), ('16735', '22548'), ('22548', '58364'))|('37468p2p', '3356p2p', '1299p2c', '16735p2c', '22548p2c')
187.16.221.193|147.28.50.0/24|('37468', '3356', '3257', '16735', '22548', '58364')|False|0.10201149425287356|(('37468', '3356'), ('3356', '3257'), ('3257', '16735'), ('16735', '22548'), ('22548', '58364'))|('37468p2p', '3356p2p', '3257p2c', '16735p2c', '22548p2c')
